Year,Round,Seed,Team,Score,Seed_1,Team_1,Score_1,Favorite,Seed_diff,Spread,Winner,Upset,Team_conference,Team_1_conference,Year_diff,assist_percentage_diff,assists_diff,away_losses_diff,away_wins_diff,block_percentage_diff,blocks_diff,conference_losses_diff,conference_wins_diff,defensive_rebounds_diff,effective_field_goal_percentage_diff,field_goal_attempts_diff,field_goal_percentage_diff,field_goals_diff,free_throw_attempt_rate_diff,free_throw_attempts_diff,free_throw_percentage_diff,free_throws_diff,free_throws_per_field_goal_attempt_diff,games_played_diff,home_losses_diff,home_wins_diff,losses_diff,minutes_played_diff,offensive_rating_diff,offensive_rebound_percentage_diff,offensive_rebounds_diff,opp_assist_percentage_diff,opp_assists_diff,opp_block_percentage_diff,opp_blocks_diff,opp_defensive_rebounds_diff,opp_effective_field_goal_percentage_diff,opp_field_goal_attempts_diff,opp_field_goal_percentage_diff,opp_field_goals_diff,opp_free_throw_attempt_rate_diff,opp_free_throw_attempts_diff,opp_free_throw_percentage_diff,opp_free_throws_diff,opp_free_throws_per_field_goal_attempt_diff,opp_offensive_rebound_percentage_diff,opp_offensive_rebounds_diff,opp_personal_fouls_diff,opp_points_diff,opp_steal_percentage_diff,opp_steals_diff,opp_three_point_attempt_rate_diff,opp_three_point_field_goal_attempts_diff,opp_three_point_field_goal_percentage_diff,opp_three_point_field_goals_diff,opp_two_point_field_goal_attempts_diff,opp_two_point_field_goal_percentage_diff,opp_two_point_field_goals_diff,opp_total_rebound_percentage_diff,opp_total_rebounds_diff,opp_true_shooting_percentage_diff,opp_turnover_percentage_diff,opp_turnovers_diff,pace_diff,personal_fouls_diff,points_diff,simple_rating_system_diff,steal_percentage_diff,steals_diff,strength_of_schedule_diff,three_point_attempt_rate_diff,three_point_field_goal_attempts_diff,three_point_field_goal_percentage_diff,three_point_field_goals_diff,two_point_field_goal_attempts_diff,two_point_field_goal_percentage_diff,two_point_field_goals_diff,total_rebound_percentage_diff,total_rebounds_diff,true_shooting_percentage_diff,turnover_percentage_diff,turnovers_diff,win_percentage_diff,wins_diff
2019,Sweet 16,3,LSU,63,2,Michigan State,80,TEAM_1,-1,-17,TEAM_2,True,,acc,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Sweet 16,1,North Carolina,80,5,Auburn,97,TEAM_2,4,-17,TEAM_2,False,big-south,big-ten,0.0,-3.8999999999999986,-181.0,11.0,-6.0,-1.3000000000000007,-63.0,9.0,-13.0,-375.0,-0.04500000000000004,-475.0,-0.044999999999999984,-286.0,-0.006000000000000005,-142.0,0.040000000000000036,-82.0,0.006000000000000005,-6.0,9.0,-14.0,20.0,-235.0,-13.599999999999994,5.200000000000003,-1.0,20.400000000000006,159.0,1.5,-17.0,-226.0,0.11500000000000005,-371.0,0.07899999999999996,-13.0,0.10699999999999998,94.0,0.04899999999999993,91.0,0.088,11.199999999999996,26.0,-95.0,155.0,4.5,64.0,0.136,120.0,0.07400000000000001,90.0,-491.0,0.11900000000000005,-103.0,4.200000000000003,-200.0,0.11599999999999994,-0.20000000000000107,-68.0,-1.2000000000000028,19.0,-718.0,-41.629999999999995,0.5,-29.0,-12.9,0.022999999999999965,-152.0,-0.017000000000000015,-64.0,-323.0,-0.057999999999999996,-222.0,-4.200000000000003,-376.0,-0.03600000000000003,7.599999999999998,122.0,-0.682,-26.0
2019,Sweet 16,1,Duke,75,4,Virginia Tech,73,TEAM_2,3,2,TEAM_1,True,colonial,big-ten,0.0,-10.5,-220.0,8.0,-6.0,-7.699999999999999,-137.0,9.0,-11.0,-331.0,-0.04300000000000004,-244.0,-0.03699999999999998,-191.0,0.0030000000000000027,-76.0,-0.020000000000000018,-71.0,-0.0050000000000000044,-6.0,8.0,-10.0,16.0,-235.0,-5.799999999999997,-1.0,-27.0,-3.3999999999999986,-15.0,-2.3000000000000007,-41.0,-18.0,0.11700000000000005,-394.0,0.09199999999999997,33.0,0.044999999999999984,-20.0,0.052999999999999936,20.0,0.047000000000000014,0.3000000000000007,-111.0,-100.0,136.0,-0.29999999999999893,-37.0,0.057999999999999996,-31.0,0.07,50.0,-363.0,0.11900000000000005,-17.0,3.700000000000003,-129.0,0.11299999999999999,0.09999999999999964,-56.0,2.1000000000000085,-62.0,-510.0,-33.03,-1.0999999999999996,-51.0,-14.379999999999999,-0.0030000000000000027,-100.0,-0.029000000000000026,-59.0,-144.0,-0.04400000000000004,-132.0,-3.700000000000003,-358.0,-0.039999999999999925,-0.09999999999999964,-57.0,-0.518,-22.0
2019,Sweet 16,1,Virginia,53,12,Oregon,49,TEAM_2,11,4,TEAM_1,True,acc,sec,0.0,8.5,106.0,-5.0,7.0,-6.1,-70.0,-5.0,5.0,200.0,-0.014000000000000012,-29.0,0.014000000000000012,21.0,-0.010000000000000009,-32.0,0.03200000000000003,1.0,0.0030000000000000027,-4.0,0.0,-1.0,-3.0,-170.0,-1.3999999999999915,3.1999999999999957,20.0,2.0,16.0,-0.6999999999999993,26.0,-93.0,-0.02300000000000002,95.0,-0.02100000000000002,-5.0,-0.07500000000000001,-135.0,-0.027999999999999914,-113.0,-0.061,-9.3,-103.0,-60.0,-114.0,0.7000000000000011,16.0,0.0030000000000000027,48.0,-0.009999999999999953,7.0,47.0,-0.028000000000000025,-12.0,-7.399999999999999,-196.0,-0.028000000000000025,-4.900000000000002,-182.0,6.700000000000003,-120.0,-99.0,3.1000000000000014,-4.0,-117.0,0.4299999999999997,-0.136,-342.0,-0.015000000000000013,-142.0,313.0,0.0,163.0,7.399999999999999,220.0,-0.008999999999999897,0.29999999999999893,7.0,0.05600000000000005,-1.0
2019,Sweet 16,3,Houston,58,2,Kentucky,62,TEAM_1,-1,-4,TEAM_2,True,acc,acc,0.0,-7.100000000000001,75.0,-3.0,2.0,7.999999999999998,179.0,-2.0,2.0,240.0,-0.020000000000000018,518.0,0.008000000000000007,264.0,0.013000000000000012,197.0,-0.07499999999999996,90.0,-0.014999999999999986,3.0,0.0,1.0,-3.0,115.0,-0.7000000000000028,6.099999999999998,185.0,-6.600000000000001,51.0,-2.0,14.0,156.0,-0.03999999999999998,559.0,-0.009999999999999953,202.0,-0.02300000000000002,90.0,-0.026000000000000023,50.0,-0.022999999999999993,2.1000000000000014,134.0,84.0,404.0,0.9999999999999991,67.0,-0.15000000000000002,-83.0,-0.027000000000000024,-50.0,642.0,-0.03999999999999998,252.0,-1.8999999999999986,290.0,-0.041000000000000036,-2.3000000000000007,49.0,8.799999999999997,63.0,569.0,7.619999999999997,2.0,110.0,4.19,-0.064,72.0,-0.08600000000000002,-49.0,446.0,0.050999999999999934,313.0,1.8999999999999986,425.0,-0.026999999999999913,-0.3999999999999986,96.0,0.09899999999999998,6.0
2019,Second Round,3,LSU,69,6,Maryland,67,TEAM_2,3,2,TEAM_1,True,acc,pac-12,0.0,3.6000000000000014,43.0,-6.0,5.0,-1.5999999999999996,-13.0,-6.0,6.0,38.0,0.03200000000000003,-70.0,0.022999999999999965,16.0,-0.0030000000000000027,-26.0,0.02300000000000002,-5.0,0.0040000000000000036,0.0,-3.0,2.0,-10.0,5.0,10.099999999999994,0.5999999999999979,-19.0,-11.700000000000003,-111.0,0.3000000000000007,0.0,-70.0,-0.017000000000000015,-32.0,-0.013000000000000012,-38.0,-0.07600000000000001,-164.0,-0.03599999999999992,-134.0,-0.063,-3.5,-48.0,-37.0,-232.0,0.1999999999999993,-8.0,-0.029000000000000026,-73.0,-0.0010000000000000009,-22.0,41.0,-0.030999999999999972,-16.0,-2.799999999999997,-118.0,-0.027000000000000024,-2.799999999999999,-116.0,-4.700000000000003,-123.0,53.0,11.510000000000002,-2.5999999999999996,-79.0,4.0200000000000005,0.0,-27.0,0.04400000000000004,26.0,-43.0,0.009000000000000008,-10.0,2.799999999999997,19.0,0.030999999999999917,-2.5999999999999996,-100.0,0.263,10.0
2019,Second Round,10,Minnesota,50,2,Michigan State,70,TEAM_1,-8,-20,TEAM_2,True,southland,sec,0.0,0.6999999999999957,-52.0,11.0,-5.0,-8.9,-122.0,7.0,-7.0,-268.0,-0.02100000000000002,-154.0,-0.020999999999999963,-113.0,-0.0010000000000000009,-66.0,-0.06399999999999995,-100.0,-0.028000000000000025,-7.0,3.0,-8.0,11.0,-265.0,-4.6000000000000085,-1.3999999999999986,-18.0,5.399999999999999,64.0,1.3999999999999995,8.0,13.0,0.09400000000000003,-329.0,0.09099999999999997,33.0,0.07799999999999996,53.0,0.03400000000000003,59.0,0.067,2.900000000000002,-50.0,-60.0,90.0,1.0999999999999996,8.0,-0.043999999999999984,-206.0,0.057999999999999996,-35.0,-123.0,0.10200000000000004,68.0,4.699999999999996,-37.0,0.09299999999999997,2.6999999999999993,25.0,7.700000000000003,-7.0,-341.0,-30.79,1.3999999999999986,14.0,-15.82,0.014000000000000012,-19.0,-0.013999999999999957,-15.0,-135.0,-0.02100000000000002,-98.0,-4.699999999999996,-286.0,-0.028999999999999915,0.40000000000000036,-24.0,-0.41100000000000003,-18.0
2019,Second Round,12,Murray St.,62,4,Florida State,90,TEAM_1,-8,-28,TEAM_2,True,aac,big-ten,0.0,3.6999999999999957,101.0,-4.0,4.0,0.0,-2.0,-5.0,3.0,96.0,0.007000000000000006,294.0,-0.0030000000000000027,124.0,-0.01200000000000001,70.0,-0.040000000000000036,24.0,-0.021999999999999992,3.0,-2.0,4.0,-7.0,120.0,4.5,-0.20000000000000284,70.0,-2.0,-39.0,-3.4000000000000004,-37.0,141.0,-0.03400000000000003,30.0,-0.029000000000000026,-46.0,0.10699999999999998,225.0,-0.029000000000000026,141.0,0.066,0.8000000000000007,45.0,44.0,30.0,-2.6000000000000005,-41.0,0.01699999999999996,46.0,-0.03999999999999998,-19.0,-16.0,-0.017000000000000015,-27.0,1.1000000000000014,186.0,-0.02200000000000002,3.5999999999999996,134.0,0.7000000000000028,179.0,358.0,2.8999999999999986,3.0999999999999996,92.0,-5.4799999999999995,0.055999999999999994,232.0,0.006000000000000005,86.0,62.0,0.0050000000000000044,38.0,-1.1000000000000014,166.0,0.0,-2.5999999999999996,-27.0,0.21599999999999997,10.0
2019,Second Round,5,Auburn,89,4,Kansas,75,TEAM_1,-1,14,TEAM_1,False,,big-ten,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Second Round,2,Michigan,64,10,Florida,49,TEAM_2,8,15,TEAM_1,True,big-ten,acc,0.0,9.5,48.0,5.0,-4.0,-2.5999999999999996,-21.0,6.0,-4.0,-61.0,-0.02300000000000002,-132.0,-0.007000000000000006,-73.0,0.057999999999999996,70.0,-0.061999999999999944,-1.0,0.01599999999999996,-1.0,2.0,-1.0,6.0,-55.0,-2.5999999999999943,-1.3999999999999986,-16.0,7.0,99.0,2.5,43.0,24.0,0.02300000000000002,40.0,0.031000000000000028,80.0,-0.07500000000000001,-143.0,-0.030000000000000027,-121.0,-0.062,1.5999999999999979,5.0,11.0,13.0,0.7000000000000002,6.0,-0.04899999999999999,-89.0,0.0050000000000000044,-26.0,129.0,0.033999999999999975,106.0,2.0,29.0,0.009000000000000008,-3.3000000000000007,-117.0,-1.5999999999999943,-127.0,-228.0,-5.469999999999999,-3.0999999999999996,-91.0,1.0099999999999998,-0.08100000000000002,-216.0,-0.015000000000000013,-81.0,84.0,-0.02400000000000002,8.0,-2.0,-77.0,-0.02400000000000002,-1.5999999999999996,-74.0,-0.17300000000000004,-7.0
